code,number,team,name,category,source_url
"AUT 1","1","Austria","Escudo de Austria","Escudo","https://scanini.app/es/teams/austria"
"AUT 2","2","Austria","Alexander Schlager","Jugador","https://scanini.app/es/teams/austria"
"AUT 3","3","Austria","Patrick Pentz","Jugador","https://scanini.app/es/teams/austria"
"AUT 4","4","Austria","David Alaba","Jugador","https://scanini.app/es/teams/austria"
"AUT 5","5","Austria","Kevin Danso","Jugador","https://scanini.app/es/teams/austria"
"AUT 6","6","Austria","Philipp Lienhart","Jugador","https://scanini.app/es/teams/austria"
"AUT 7","7","Austria","Stefan Posch","Jugador","https://scanini.app/es/teams/austria"
"AUT 8","8","Austria","Phillipp Mwene","Jugador","https://scanini.app/es/teams/austria"
"AUT 9","9","Austria","Alexander Prass","Jugador","https://scanini.app/es/teams/austria"
"AUT 10","10","Austria","Xaver Schlager","Jugador","https://scanini.app/es/teams/austria"
"AUT 11","11","Austria","Marcel Sabitzer","Jugador","https://scanini.app/es/teams/austria"
"AUT 12","12","Austria","Konrad Laimer","Jugador","https://scanini.app/es/teams/austria"
"AUT 13","13","Austria","Foto del equipo de Austria","Equipo","https://scanini.app/es/teams/austria"
"AUT 14","14","Austria","Florian Grillitsch","Jugador","https://scanini.app/es/teams/austria"
"AUT 15","15","Austria","Nicolas Seiwald","Jugador","https://scanini.app/es/teams/austria"
"AUT 16","16","Austria","Romano Schmid","Jugador","https://scanini.app/es/teams/austria"
"AUT 17","17","Austria","Patrick Wimmer","Jugador","https://scanini.app/es/teams/austria"
"AUT 18","18","Austria","Christoph Baumgartner","Jugador","https://scanini.app/es/teams/austria"
"AUT 19","19","Austria","Michael Gregoritsch","Jugador","https://scanini.app/es/teams/austria"
"AUT 20","20","Austria","Marko Arnautović","Jugador","https://scanini.app/es/teams/austria"
"BEL 1","1","Belgium","Escudo de Belgium","Escudo","https://scanini.app/es/teams/belgium"
"BEL 2","2","Belgium","Thibaut Courtois","Jugador","https://scanini.app/es/teams/belgium"
