id,group_name,team,code,number,category,name,image_path,validation_status,notes
51,A,Corea del Sur,KOR 11,11,Jugador,Hwang In-beom,/stickers/KOR/KOR_11.webp,validado,
52,A,Corea del Sur,KOR 12,12,Jugador,Lee Kang-in,/stickers/KOR/KOR_12.webp,validado,
53,A,Corea del Sur,KOR 13,13,Equipo,Selección de Corea del Sur,/stickers/KOR/KOR_13.webp,validado,
54,A,Corea del Sur,KOR 14,14,Jugador,Park Seung-ho,/stickers/KOR/KOR_14.webp,validado,
55,A,Corea del Sur,KOR 15,15,Jugador,Jens Castrop,/stickers/KOR/KOR_15.webp,validado,
56,A,Corea del Sur,KOR 16,16,Jugador,Lee Dong-gyeong,/stickers/KOR/KOR_16.webp,validado,
57,A,Corea del Sur,KOR 17,17,Jugador,Cho Gue-sung,/stickers/KOR/KOR_17.webp,validado,
58,A,Corea del Sur,KOR 18,18,Jugador,Son Heung-min,/stickers/KOR/KOR_18.webp,validado,
59,A,Corea del Sur,KOR 19,19,Jugador,Hwang Hee-chan,/stickers/KOR/KOR_19.webp,validado,
60,A,Corea del Sur,KOR 20,20,Jugador,Oh Hyeon-gyu,/stickers/KOR/KOR_20.webp,validado,
61,A,Chequia,CZE 1,1,Escudo,Escudo de Chequia,/stickers/CZE/CZE_1.webp,validado,
62,A,Chequia,CZE 2,2,Jugador,Matěj Kovář,/stickers/CZE/CZE_2.webp,validado,
63,A,Chequia,CZE 3,3,Jugador,Jindřich Staněk,/stickers/CZE/CZE_3.webp,validado,
64,A,Chequia,CZE 4,4,Jugador,Ladislav Krejčí,/stickers/CZE/CZE_4.webp,validado,
65,A,Chequia,CZE 5,5,Jugador,Vladimír Coufal,/stickers/CZE/CZE_5.webp,validado,
66,A,Chequia,CZE 6,6,Jugador,Jaroslav Zelený,/stickers/CZE/CZE_6.webp,validado,
67,A,Chequia,CZE 7,7,Jugador,Tomáš Holeš,/stickers/CZE/CZE_7.webp,validado,
68,A,Chequia,CZE 8,8,Jugador,David Zima,/stickers/CZE/CZE_8.webp,validado,
69,A,Chequia,CZE 9,9,Jugador,Michal Sadílek,/stickers/CZE/CZE_9.webp,validado,
70,A,Chequia,CZE 10,10,Jugador,Lukáš Provod,/stickers/CZE/CZE_10.webp,validado,
71,A,Chequia,CZE 11,11,Jugador,Lukáš Červ,/stickers/CZE/CZE_11.webp,validado,
72,A,Chequia,CZE 12,12,Jugador,Tomáš Souček,/stickers/CZE/CZE_12.webp,validado,
73,A,Chequia,CZE 13,13,Equipo,Selección de Chequia,/stickers/CZE/CZE_13.webp,validado,
74,A,Chequia,CZE 14,14,Jugador,Pavel Šulc,/stickers/CZE/CZE_14.webp,validado,
75,A,Chequia,CZE 15,15,Jugador,Matěj Vydra,/stickers/CZE/CZE_15.webp,validado,
76,A,Chequia,CZE 16,16,Jugador,Vasil Kušej,/stickers/CZE/CZE_16.webp,validado,
77,A,Chequia,CZE 17,17,Jugador,Tomáš Chorý,/stickers/CZE/CZE_17.webp,validado,
78,A,Chequia,CZE 18,18,Jugador,Václav Černý,/stickers/CZE/CZE_18.webp,validado,
79,A,Chequia,CZE 19,19,Jugador,Adam Hložek,/stickers/CZE/CZE_19.webp,validado,
80,A,Chequia,CZE 20,20,Jugador,Patrik Schick,/stickers/CZE/CZE_20.webp,validado,
